file,line,artifact_form,context
grade_10_aghatathmaka_and_anaghatathmaka_padi.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_aghatathmaka_and_anaghatathmaka_padi.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_folk_song_classification.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_folk_song_classification.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_musical_fundamentals.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_musical_fundamentals.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_nadaya.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_nadaya.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_nadaya_section_8_1_1.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_nadaya_section_8_1_1.md,16,`,> Text was extracted from the PDF text layer with `pdftotext -layout`. OCR was not used.
grade_10_western_music.md,145,සම`ග,පුරවැසියා කෙසේ විය යුතු ද යන්න  ගැඹුරින් විමසා  බැලීමත් සම`ග  මෙතෙක් පැවති සෞන්දර්ය
grade_10_western_music.md,217,ක`ඵතර,"ඊ. ඒ. ප්‍රේමසිරිගුරු උපදේශක, කලාප අධ්‍යාපන කාර්යාලය, ක`ඵතර."
grade_10_western_music.md,281,හැ`දින්වීම,හැ`දින්වීමv-vi
grade_10_western_music.md,362,ළ`ගා,තත්ත්වයන්  ළ`ගා  කර
grade_10_western_music.md,392,යනවි`දියි,රහ්මාන් යනවි`දියි.  මෙහෙයවීම  වැනි  විවිධ  පෞරුෂ
grade_10_western_music.md,441,වි``දියි,ගීත රස වි``දියි.
